 district |       block        |          cluster          | school_code |             school_name             | no_of_classroom | lowest_class | highest_class | no_of_teachers | no_of_students | no_of_headteacher 
 BIDAR    | BIDAR              | SHAHGUNJ                  |29050403003| GOVT LPS URDU CHONDI                |2|1|5|2|29|0
 BIDAR    | BIDAR              | SHAHGUNJ                  |29050405711| GHPS (URDU) JANWADA                 |7|1|8|7|165|1
 BIDAR    | BIDAR              | SHAHGUNJ                  |29050405717| RMSA ADARSHA VIDHYALYA  JANWADA     |6|6|8|2|188|1
 BIDAR    | BIDAR              | SHAHGUNJ                  |29050406202| GLPS (URDU) KANNALLI                |1|1|5|2|29|1
 BIDAR    | BIDAR              | SHAHGUNJ                  |29050407904| GOVT HPS(URDU) MARKHAL              |2|1|6|4|99|1
 BIDAR    | BIDAR              | SHAHGUNJ                  |29050416203| GOVT LPS MULTANI COLONY             |2|1|5|2|33|1
 BIDAR    | BIDAR              | SHAHGUNJ                  |29050416408| GLPS SHAHGUNJ (URDU) BIDAR          |3|1|5|3|62|1
 BIDAR    | BIDAR              | SHAHGUNJ                  |29050416804| GOVT HPS URDU NAWBAD                |6|1|8|6|151|1
 BIDAR    | HUMNABAD           | BEMALKHEDA                |29050500901| GPVT MPS BEMALKHEDA                 |7|1|7|5|252|0
 BIDAR    | HUMNABAD           | BEMALKHEDA                |29050500902| GOVT GIRLS HPS BEMALKHEDA           |7|1|7|8|203|1
 BIDAR    | HUMNABAD           | BEMALKHEDA                |29050500911| RMSA ADARSH SCHOOL BEMALKHEDA       |2|6|8|6|141|1
 BIDAR    | HUMNABAD           | BEMALKHEDA                |29050501609| GOVT HPS VITHALPUR                  |9|1|8|9|220|1
 BIDAR    | HUMNABAD           | BEMALKHEDA                |29050504501| GOVT HPS KARAKNALLI                 |11|1|8|8|296|1
 BIDAR    | HUMNABAD           | BEMALKHEDA                |29050504601| GOVT HPS KARPAKPALLI                |9|1|8|9|186|1
 BIDAR    | HUMNABAD           | BEMALKHEDA                |29050504602| GOVT HPS KARPAKPALLI THANDA         |4|1|6|1|13|0
 BIDAR    | HUMNABAD           | BEMALKHEDA                |29050508401| GOVT MPS UDAMNALLI                  |16|1|7|7|264|1
 BIDAR    | HUMNABAD           | BENCHINCHOLI              |29050500201| GOVT HPS ALLUR                      |7|1|8|7|168|1
 BIDAR    | HUMNABAD           | BENCHINCHOLI              |29050500203| GOVT LPS ALLUR BADAVANE             |2|1|5|2|25|0
 BIDAR    | HUMNABAD           | BENCHINCHOLI              |29050500501| GOVT HPS BAINCHINCHOLI              |9|1|7|7|224|1
 BIDAR    | HUMNABAD           | BENCHINCHOLI              |29050503301| GOVT HPS HIPPARGA                   |5|1|7|4|110|0
 BIDAR    | HUMNABAD           | BENCHINCHOLI              |29050504001| GOVT HPS KABIRABAD                  |8|1|8|9|187|0
 BIDAR    | HUMNABAD           | BENCHINCHOLI              |29050505001| GOVT HPS MADARGAON                  |10|1|8|5|139|1
 BIDAR    | HUMNABAD           | BENCHINCHOLI              |29050505002| GOVT LPS KAN MADARGAON EXTN         |2|1|5|2|36|0
 BIDAR    | HUMNABAD           | BENCHINCHOLI              |29050505301| GOVT HPS MALKAPUR WADI              |5|1|5|5|70|1
 BIDAR    | HUMNABAD           | BENCHINCHOLI              |29050506701| GOVT HPS NAMADAPUR                  |8|1|8|8|198|2
 BIDAR    | HUMNABAD           | BENCHINCHOLI              |29050508501| GOVT HPS WADDANKERA                 |11|1|8|8|164|1
 BIDAR    | HUMNABAD           | BENCHINCHOLI              |29050508502| GOVT LPS WADDANKERA (EXTENSION      |5|1|5|3|56|0
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050500102| GOVT LPS ALIPUR THADA               |6|1|5|1|49|0
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050500701| GOVT HPS BASHIRPUR                  |8|1|8|7|294|1
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050501001| GOVT HPS JAMALPUR (BARDAPUR)        |6|1|8|6|201|0
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050501201| GOVT HPS BORAL                      |7|1|7|8|200|1
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050501601| GOVT MPS CHANGLER                   |8|1|8|10|434|0
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050501602| GOVT LPS VEERBHADRESHW COLONY       |5|1|5|3|107|0
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050501606| GVOT LPS DEVAGIRI THANDA            |6|1|5|2|40|0
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050501607| GOVT LPS CHAUKI THANDA              |5|1|5|2|71|1
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050501608| GOVT LPS CHOUKI THANDA B            |3|1|4|2|15|0
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050502102| GOVT LPS DEVAGIRI THANDA (B)        |3|1|4|1|42|1
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050505801| GOVT HPS MEENKERA                   |15|1|7|12|353|1
 BIDAR    | HUMNABAD           | CHANGLERA                 |29050507101| GOVT HPS POLAKPALLI                 |8|1|7|5|138|0
 BIDAR    | HUMNABAD           | CHITGUPPA                 |29050501801| GOVT HPS CHITGUPPA                  |7|1|8|8|215|1
 BIDAR    | HUMNABAD           | CHITGUPPA                 |29050501802| GOVT GIRLS MPS CHITGUPPA            |5|1|8|7|128|0
 BIDAR    | HUMNABAD           | CHITGUPPA                 |29050501804| GOVT HOUSING BOARD PS CHITGUPP      |7|1|6|6|144|1
 BIDAR    | HUMNABAD           | CHITGUPPA                 |29050501809| GOVT LPS MARKANDESHWAR  CHITG       |4|1|5|4|65|1
 BIDAR    | HUMNABAD           | CHITGUPPA                 |29050501813| GOVT LPS SUGARFACTORY CHITGUP       |5|1|5|3|43|1
 BIDAR    | HUMNABAD           | CHITGUPPA                 |29050501821| GOVT HPS FATHIMAPUR                 |6|1|6|5|144|1
 BIDAR    | HUMNABAD           | CHITGUPPA                 |29050507501| GOVT HPS SHAMTABAD                  |7|1|7|8|215|0
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050500802| GOVT LPS URDU BELKHERA              |2|1|5|1|21|0
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050501811| GOVT LPS URDU DASTGIR GALLI CH      |3|1|5|2|43|1
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050501812| GOVT LPS HUSSAINI ALAM CHITGUP      |2|1|5|1|62|0
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050501830| GOVT LPS URDU FATIMAPUR             |5|1|5|2|40|0
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050501831| GLPS SUGAR FACTORY URDU             |3|1|5|2|60|0
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050501832| GHPS KANYA URDU CHITGUPPA           |5|1|7|6|196|1
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050501833| CPS URDU CHITGUPPA                  |7|1|7|6|218|1
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050503802| GOVT URDU LPS ITGA                  |2|1|3|2|22|0
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050504402| GOVT HPS KAPPARGAOM (URDU)          |7|1|8|4|109|0
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050504802| GOVT HPS  URDU KODAMBAL             |6|1|8|4|136|0
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050505202| GOVT URDU LPS MADGOOL               |2|1|5|1|20|0
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050506303| GOVT LPS AIP URDU MUSTARI           |6|1|5|2|71|0
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050507502| GOVT LPS URDU SHAMTABAD             |2|1|5|3|64|1
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050508303| GOVT URDU LPS (AIP) UDBAL           |5|1|7|2|86|0
 BIDAR    | HUMNABAD           | CHITGUPPA URDU            |29050508603| GLPS URDU WALKHINDI                 |4|1|5|3|26|0
 BIDAR    | HUMNABAD           | DUBALGUNDI                |29050501701| GOVT HPS CHEENKERA                  |8|1|8|8|216|0
 BIDAR    | HUMNABAD           | DUBALGUNDI                |29050502302| GOVT GIRLS HPS DUBALGUNDI           |8|1|7|7|210|1
 BIDAR    | HUMNABAD           | DUBALGUNDI                |29050502305| GOVT LPS DUBLGUNDI (W)              |7|1|6|5|131|0
 BIDAR    | HUMNABAD           | DUBALGUNDI                |29050502306| GOVT MPS DUBLGUNDI                  |7|1|7|9|191|3
 BIDAR    | HUMNABAD           | DUBALGUNDI                |29050503901| GOVT HPS JALSINGI                   |7|1|7|9|238|1
 BIDAR    | HUMNABAD           | DUBALGUNDI                |29050503902| GOVT LPS PUJESWARI COLONY JAL       |2|1|5|2|15|0
 BIDAR    | HUMNABAD           | DUBALGUNDI                |29050507401| GOVT MPS SEDOL                      |7|1|7|5|140|0
 BIDAR    | HUMNABAD           | DUBALGUNDI                |29050508701| GOVT HPS WARWATTI (K)               |8|1|8|7|201|1
 BIDAR    | HUMNABAD           | GADWANTHI                 |29050502201| GOVT HPS DHUMMANSUR                 |9|1|8|8|301|0
 BIDAR    | HUMNABAD           | GADWANTHI                 |29050502206| GOVT LPS DHUMANSOOR THANDA          |5|1|5|2|23|0
 BIDAR    | HUMNABAD           | GADWANTHI                 |29050502401| GOVT HPS GADWANTI                   |7|1|7|9|241|2
 BIDAR    | HUMNABAD           | GADWANTHI                 |29050502403| GOVT LPS SANGAMESHWAR COLONY        |5|1|5|2|38|0
 BIDAR    | HUMNABAD           | GADWANTHI                 |29050503576| GOVT LPS DHUMMANSUR BADAVANE        |5|1|5|2|49|0
 BIDAR    | HUMNABAD           | GADWANTHI                 |29050503601| GOVT HPS HUNSGERA                   |8|1|8|10|264|0
 BIDAR    | HUMNABAD           | GADWANTHI                 |29050504301| GOVT MPS KANKATTA                   |8|1|8|11|452|1
 BIDAR    | HUMNABAD           | GADWANTHI                 |29050505502| GOVT LPS MANIKNAGAR WESTWING        |6|1|7|3|46|0
 BIDAR    | HUMNABAD           | GADWANTHI                 |29050505901| GOVT HPS MOLKHERA                   |8|1|8|9|289|1
 BIDAR    | HUMNABAD           | GADWANTHI                 |29050508801| GOVT LPS BASANTHPUR                 |5|1|6|2|41|0
 BIDAR    | HUMNABAD           | GHATBORAL                 |29050502501| GOVT HPS GHATBORAL                  |11|1|7|9|333|1
 BIDAR    | HUMNABAD           | GHATBORAL                 |29050502502| GOVT LPS GHATBORAL THANDA           |10|1|6|3|126|0
 BIDAR    | HUMNABAD           | GHATBORAL                 |29050502601| GOVT HPS GHODWADI                   |16|1|8|8|205|1
 BIDAR    | HUMNABAD           | GHATBORAL                 |29050503701| GOVT HPS HUNASNAL                   |13|1|7|9|215|1
 BIDAR    | HUMNABAD           | GHATBORAL                 |29050509701| GOVT LPS JAMNAGAR                   |5|1|5|2|46|0
 BIDAR    | HUMNABAD           | GHATBORAL                 |29050510201| GLPS ZARAL TANDA                    |2|1|5|2|28|0
 BIDAR    | HUMNABAD           | GHATBORAL                 |29050512901| GOVT LPS REDU TANDA                 |3|1|5|2|55|0
 BIDAR    | HUMNABAD           | HALLIKHED (B)             |29050500301| GOVT HPS AMEERABAD                  |7|1|8|7|156|1
 BIDAR    | HUMNABAD           | HALLIKHED (B)             |29050500401| GOVT LPS ATIWAL                     |5|1|5|3|28|0
 BIDAR    | HUMNABAD           | HALLIKHED (B)             |29050502001| GOVT HPS DAKULGI                    |8|1|8|7|175|1
 BIDAR    | HUMNABAD           | HALLIKHED (B)             |29050502801| GOVT MPS HALLIKHED (B)              |7|1|7|9|242|0
 BIDAR    | HUMNABAD           | HALLIKHED (B)             |29050502803| GOVT B.S.S.K.LTD. HPS HALLIKHE      |7|1|7|6|109|0
 BIDAR    | HUMNABAD           | HALLIKHED (B)             |29050503201| GOVT HPS HILALPUR                   |8|1|8|8|156|1
 BIDAR    | HUMNABAD           | HALLIKHED (B)             |29050503202| GOVT LPS HILAPUR(B)                 |2|1|5|2|5|0
 BIDAR    | HUMNABAD           | HALLIKHED (B)             |29050507801| GOVT HPS SHINDBANDGI                |7|1|7|7|188|1
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050500202| GOVT LPS ALLUR (AIP)                |2|1|5|3|23|0
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050500402| GOVT LPS URDU (AIP) ATIWAL          |5|1|5|3|14|0
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050501403| GOVT URDU LPS BOTHAGI               |2|1|3|2|13|0
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050502002| GOVT URDU AIP LPS DAKULGI           |5|1|5|2|35|0
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050502819| GOVT URDU(AIP) LPS HALLIKHED B      |5|1|5|3|97|0
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050502824| GOVT URDU HPS HALIKHED B            |7|1|7|7|243|1
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050503203| GOVT LPS URDU AIP HILAPUR           |5|1|5|3|40|0
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050505702| GOVT ( AIP ) LPS MARKHAL            |4|1|5|2|38|0
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050506804| GOVT URDU LPS NIMBOOR               |2|1|3|2|20|0
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050507803| GOVT AIP URDU LPS SINDBANDGI        |2|1|5|3|35|0
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050507902| GOVT LPS SITALGERA(AIP)             |4|1|5|3|32|0
 BIDAR    | HUMNABAD           | HALLIKHED (B) URDU        |29050508503| GOVT LPS WADDANKERA AIP             |2|1|5|2|39|0
 BIDAR    | HUMNABAD           | HALLIKHED(K)              |29050501301| GOVT HPS BORAMPALLI                 |8|1|8|6|116|1
 BIDAR    | HUMNABAD           | HALLIKHED(K)              |29050501901| GOVT HPS CHITKOTTA                  |5|1|7|3|93|1
 BIDAR    | HUMNABAD           | HALLIKHED(K)              |29050502901| GOVT HPS HALLIKHED (K)              |8|1|7|6|207|1
 BIDAR    | HUMNABAD           | HALLIKHED(K)              |29050502902| GOVT HPS HALLIKHED (K) WADI         |7|1|7|6|143|1
 BIDAR    | HUMNABAD           | HALLIKHED(K)              |29050502906| GOVT LPS LALDHARI THANDA            |2|1|5|2|24|0
 BIDAR    | HUMNABAD           | HALLIKHED(K)              |29050504101| GOVT MPS KALLUR                     |7|1|7|8|220|0
 BIDAR    | HUMNABAD           | HALLIKHED(K)              |29050504102| GOVT HPS KALLUR THANDA              |4|1|5|2|29|0
 BIDAR    | HUMNABAD           | HALLIKHED(K)              |29050504701| GOVT HPS KATHALLI                   |8|1|8|7|157|1
 BIDAR    | HUMNABAD           | HALLIKHED(K)              |29050506201| GOVT HPS MUSTAPUR                   |8|1|8|4|149|0
 BIDAR    | HUMNABAD           | HALLIKHED(K)              |29050506202| GOVT LPS MUSTAPUR BADAWANE          |4|1|5|1|62|0
 BIDAR    | HUMNABAD           | HANDIKERA                 |29050501501| GOVT HPS CHANDANHALLI               |10|1|8|6|159|0
 BIDAR    | HUMNABAD           | HANDIKERA                 |29050501502| GOVT LPS CHANDANHALLI NEW COLO      |5|1|5|2|82|0
 BIDAR    | HUMNABAD           | HANDIKERA                 |29050503001| GOVT LPS HANDIKERA (BADAWANE)       |2|1|5|2|122|0
 BIDAR    | HUMNABAD           | HANDIKERA                 |29050503002| GOVT HPS KAN & MAR HANDIKERA        |7|1|8|6|177|1
 BIDAR    | HUMNABAD           | HANDIKERA                 |29050504901| GOVT HPS KUMARCHINCHOLLI            |10|1|8|7|239|1
 BIDAR    | HUMNABAD           | HANDIKERA                 |29050504903| GOVT LPS COLONY CUMAR CHINCHOL      |3|1|5|3|26|0
 BIDAR    | HUMNABAD           | HANDIKERA                 |29050506101| GOVT HPS MUGNOOR                    |10|1|8|6|150|0
 BIDAR    | HUMNABAD           | HANDIKERA                 |29050507001| GOVT HPS OTHAGI                     |9|1|8|7|283|3
 BIDAR    | HUMNABAD           | HANDIKERA                 |29050508001| GOVT HPS SULTANABAD                 |7|1|8|6|235|0
 BIDAR    | HUMNABAD           | HANDIKERA                 |29050508002| GOVT LPS SULTANABAD COLONY          |3|1|5|2|61|0
 BIDAR    | HUMNABAD           | HANDIKERA                 |29050508101| GOVT HPS SONKERA                    |8|1|8|8|235|1
 BIDAR    | HUMNABAD           | HUDGI                     |29050503101| GOVT HPS HANKUNI                    |8|1|8|8|238|1
 BIDAR    | HUMNABAD           | HUDGI                     |29050503403| INDIRA LPS INDIRA NAGAR HUDGI       |6|1|6|5|141|1
 BIDAR    | HUMNABAD           | HUDGI                     |29050503405| GOVT GIRLS HPS HUDGI                |6|1|7|7|161|1
 BIDAR    | HUMNABAD           | HUDGI                     |29050503406| GOVT MPS HUDGI                      |7|1|7|7|145|1
 BIDAR    | HUMNABAD           | HUDGI                     |29050503554| KASTURBA G GIRL SCHOOL              |7|6|8|3|149|0
 BIDAR    | HUMNABAD           | HUDGI                     |29050504401| GOVT MPS KAPPARGAON                 |7|1|7|7|145|0
 BIDAR    | HUMNABAD           | HUDGI                     |29050504406| GOVT LPS KAPPARGAON EXT             |2|1|5|2|65|0
 BIDAR    | HUMNABAD           | HUDGI                     |29050506602| GOVT HPS NANDGAON                   |10|1|8|7|238|1
 BIDAR    | HUMNABAD           | HUDGI                     |29050507701| GOVT HPS SINDANKERA                 |8|1|8|11|345|1
 BIDAR    | HUMNABAD           | HUMNABAD (NORTH)          |29050503501| GOVT HPS HUMNABAD                   |7|1|7|6|143|1
 BIDAR    | HUMNABAD           | HUMNABAD (NORTH)          |29050503504| GOVT HPS HOUSING BOARD COLONY       |6|1|7|5|116|1
 BIDAR    | HUMNABAD           | HUMNABAD (NORTH)          |29050503539| GOVT GIRLS MPS HUMNABAD             |8|1|7|6|131|1
 BIDAR    | HUMNABAD           | HUMNABAD (SOUTH)          |29050503503| GOVT HPS WANJARI                    |7|1|7|9|266|1
 BIDAR    | HUMNABAD           | HUMNABAD (SOUTH)          |29050503553| GOVT LPS ASHRAY COLONY HUMNABD      |3|1|5|2|7|0
 BIDAR    | HUMNABAD           | HUMNABAD (URDU)           |29050502908| LPS URDU HALLIKHED (K)              |2|1|5|3|79|0
 BIDAR    | HUMNABAD           | HUMNABAD (URDU)           |29050503102| GOVT URDU LPS HANKUNI               |2|1|5|2|72|0
 BIDAR    | HUMNABAD           | HUMNABAD (URDU)           |29050503401| GOVT HPS URDU HUDGI                 |5|1|7|5|244|0
 BIDAR    | HUMNABAD           | HUMNABAD (URDU)           |29050503413| GOVT URDU LPS HUDGI (JANTANAGAR)    |3|1|5|3|32|0
 BIDAR    | HUMNABAD           | HUMNABAD (URDU)           |29050503505| GOVT LPS FAKIRTEKADA HUMNABAD       |7|1|8|5|117|1
 BIDAR    | HUMNABAD           | HUMNABAD (URDU)           |29050503538| GOVT URDU HPS HUMNABAD              |7|1|7|7|258|0
 BIDAR    | HUMNABAD           | HUMNABAD (URDU)           |29050503585| GOVT GIRLS URDU HPS HUMNABAD        |7|1|7|6|202|0
 BIDAR    | HUMNABAD           | HUMNABAD (URDU)           |29050505902| GOVT LPS URDU MOLKERA               |5|1|6|3|49|0
 BIDAR    | HUMNABAD           | HUMNABAD (URDU)           |29050506601| GOVT HPS URDU  NANDAGAON            |14|1|8|7|176|1
 BIDAR    | HUMNABAD           | HUMNABAD (URDU)           |29050507702| GOVT URDU AIP LR PS SINDNKERA       |5|1|7|3|105|0
 BIDAR    | HUMNABAD           | HUMNABAD (URDU)           |29050510301| GOVT URDU LPS HB COLONY HUMNABAD    |2|1|5|3|83|0
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050500904| GOVT URDU HPS BEMALKHEDA            |11|1|7|7|136|0
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050501202| GOVT LPS URDU BORAL                 |4|1|7|6|98|1
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050501603| GOVT HPS URDU CHANGLERA             |7|1|8|6|148|1
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050505101| GOVT HPS MADARGI(URDU)              |5|1|6|2|62|0
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050505403| GOVT LPS AIP URDU MANGALGI          |6|1|8|6|192|1
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050505601| GOVT MPS URDU MANNAEKHELLI          |8|1|8|11|288|1
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050505615| GOVT LPS URDU MEHRAJ COLONY         |3|1|5|2|20|0
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050505804| GOVT URDU LPS MEENKERA              |2|1|5|3|32|0
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050506404| GOVT LPS URDU MUTTANGI              |5|1|7|4|60|0
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050506502| GOVT URDU LPS AIP NAGANKERA         |3|1|5|2|63|1
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050506905| GOVT URDU HPS NIRNA                 |10|1|8|8|286|0
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050506915| GLPS KHURESHI GALLI NIRNA           |2|1|3|2|51|1
 BIDAR    | HUMNABAD           | MANNAEKHELI URDU          |29050508203| GOVT LPS URDU TALMADGI              |7|1|7|6|146|0
 BIDAR    | HUMNABAD           | MANNA-EKHELLI             |29050500601| GOVT HPS BANNHALLI                  |7|1|8|8|211|1
 BIDAR    | HUMNABAD           | MANNA-EKHELLI             |29050500801| GOVT HPS BELKHERA                   |9|1|8|10|319|0
 BIDAR    | HUMNABAD           | MANNA-EKHELLI             |29050500803| GOVT LPS BASAVESHWAR NAGAR          |2|1|5|1|62|0
 BIDAR    | HUMNABAD           | MANNA-EKHELLI             |29050505201| GOVT HPS  MADGOOL                   |7|1|7|7|179|1
 BIDAR    | HUMNABAD           | MANNA-EKHELLI             |29050505401| GOVT MPS MANGALGI                   |11|1|8|12|436|0
 BIDAR    | HUMNABAD           | MANNA-EKHELLI             |29050505402| GOVT LPS MANGALGIWADI               |7|1|7|6|187|1
 BIDAR    | HUMNABAD           | MANNA-EKHELLI             |29050505604| GOVT MPS MANNAEKHELI                |10|1|8|14|439|0
 BIDAR    | HUMNABAD           | MANNA-EKHELLI             |29050505605| GLPS MERAJ COLONY MANNAEKHELLI      |2|1|5|2|18|0
 BIDAR    | HUMNABAD           | MANNA-EKHELLI             |29050506501| GOVT HPS NAGANKERA                  |6|1|7|7|270|0
 BIDAR    | HUMNABAD           | NIRNA                     |29050505102| GOVT HPS MADARGI (KAN)              |8|1|7|3|84|1
 BIDAR    | HUMNABAD           | NIRNA                     |29050506401| GOVT MPS MUTTANGI                   |16|1|8|6|321|1
 BIDAR    | HUMNABAD           | NIRNA                     |29050506405| GLPS SEVANAGAR TANDA MADARGI        |5|1|5|1|26|0
 BIDAR    | HUMNABAD           | NIRNA                     |29050506408| GOVT LPS MUTTANGI (EXT)             |3|1|3|1|26|0
 BIDAR    | HUMNABAD           | NIRNA                     |29050506901| GOVT HPS NIRNA                      |6|1|8|8|151|1
 BIDAR    | HUMNABAD           | NIRNA                     |29050506902| GOVT GIRLS HPS NIRNA                |7|1|8|7|277|0
 BIDAR    | HUMNABAD           | NIRNA                     |29050506903| GOVT HPS NIRNA WADI                 |7|1|7|5|121|1
 BIDAR    | HUMNABAD           | NIRNA                     |29050506908| GOVT LPS K E B COLONY NIRNA         |3|1|5|2|48|0
 BIDAR    | HUMNABAD           | NIRNA                     |29050506913| GOVT LPS JANATA COLONY NIRNA        |2|1|5|2|35|0
 BIDAR    | HUMNABAD           | NIRNA                     |29050509101| GOVT HPS GOVINDAI THANDA            |5|1|6|2|68|0
 BIDAR    | HUMNABAD           | NIRNA                     |29050509201| GOVT HPS DHAMLANA THANDA            |8|1|6|3|52|0
 BIDAR    | HUMNABAD           | NIRNA                     |29050509801| GOVT LPS MOOKIN THANDA              |5|1|5|2|29|0
 BIDAR    | HUMNABAD           | SEDOL URDU                |29050502309| URDU HPS DUBALGUNDI                 |8|1|8|3|166|1
 BIDAR    | HUMNABAD           | SEDOL URDU                |29050502404| GOVT LPS URDU GADWANTHI (AIP)       |4|1|5|3|30|0
 BIDAR    | HUMNABAD           | SEDOL URDU                |29050502506| GOVT LPS  URDU GHAT BORAL           |10|1|8|4|126|0
 BIDAR    | HUMNABAD           | SEDOL URDU                |29050502602| GOVT LPS GHODWADI                   |7|1|8|5|164|1
 BIDAR    | HUMNABAD           | SEDOL URDU                |29050503703| GOVT URDU LPS HUNCHNAL              |2|1|5|1|23|0
 BIDAR    | HUMNABAD           | SEDOL URDU                |29050503904| GOVT LPS URDU JALSANG               |5|1|5|2|53|0
 BIDAR    | HUMNABAD           | SEDOL URDU                |29050504303| GOVT HPS  (URDU) KANKATTA           |5|1|8|3|123|0
 BIDAR    | HUMNABAD           | SEDOL URDU                |29050504902| GLPS URDU KUMAR CHINCHOLLI          |6|1|7|4|179|1
 BIDAR    | HUMNABAD           | SEDOL URDU                |29050507003| GOVT LPS URDU  OTAGI                |10|1|7|3|95|0
 BIDAR    | HUMNABAD           | SEDOL URDU                |29050507402| GOVT LPS URDU SEDOL                 |4|1|7|2|32|0
 BIDAR    | HUMNABAD           | SITALGERA                 |29050501401| GOVT HPS BOTHAGI                    |2|1|7|4|38|0
 BIDAR    | HUMNABAD           | SITALGERA                 |29050501402| GOVT HPS NEHARUNAGAR                |3|1|5|3|61|0
 BIDAR    | HUMNABAD           | SITALGERA                 |29050504201| GOVT HPS KANDGUL                    |8|1|8|9|238|1
 BIDAR    | HUMNABAD           | SITALGERA                 |29050504202| GOVT LPS BASWA NAGAR KANDGOL        |2|1|5|2|68|0
 BIDAR    | HUMNABAD           | SITALGERA                 |29050505701| GOVT HPS MARKHAL                    |7|1|8|7|169|0
 BIDAR    | HUMNABAD           | SITALGERA                 |29050506801| GOVT HPS NIMBUR                     |6|1|7|5|139|1
 BIDAR    | HUMNABAD           | SITALGERA                 |29050506802| GVOT  LSP NIMBURA BADAVANI          |4|1|5|2|53|1
 BIDAR    | HUMNABAD           | SITALGERA                 |29050507601| GOVT HPS SHAKARGUNJ                 |6|1|6|5|95|0
 BIDAR    | HUMNABAD           | SITALGERA                 |29050507901| GOVT HPS SITALGERA                  |8|1|8|9|91|0
 BIDAR    | HUMNABAD           | SITALGERA                 |29050508201| GOVT HPS TALMADGI                   |7|1|7|9|297|1
 BIDAR    | HUMNABAD           | SITALGERA                 |29050508202| GOVT LPS GANDHI NAGER TALMADGI      |7|1|5|4|54|0
 BIDAR    | HUMNABAD           | UDBAL                     |29050503801| GOVT HPS ITGA                       |12|1|8|12|340|1
 BIDAR    | HUMNABAD           | UDBAL                     |29050504801| GOVT MPS KODAMBAL                   |10|1|8|12|519|1
 BIDAR    | HUMNABAD           | UDBAL                     |29050506001| GOVT HPS MUDNAL                     |5|1|8|7|187|1
 BIDAR    | HUMNABAD           | UDBAL                     |29050506301| GOVT HPS MUSTARI                    |6|1|8|7|293|0
 BIDAR    | HUMNABAD           | UDBAL                     |29050506302| GOVT HPS MUSTARI WADI               |6|1|7|3|114|1
 BIDAR    | HUMNABAD           | UDBAL                     |29050507201| GOVT HPS RAMPUR                     |8|1|8|4|152|0
 BIDAR    | HUMNABAD           | UDBAL                     |29050508301| GOVT HPS UDBAL                      |9|1|7|9|262|1
 BIDAR    | HUMNABAD           | UDBAL                     |29050508302| GOVT LPS UDBAL WADI                 |6|1|7|8|246|0
